,Question,reponse,type
14,الخوف من المستقبل وتشويش بالذهن والرغبة في بعض الاحيان التخلص من الحياة والتمني للذهاب الى عالم لا فيه اي احد واختلاط الاهداف و لوم الذات كثيرا لدرجة الكره .هل يوجد حل ساعدوني,الاعراض التي تعاني منها تتطلب منك مراجعة اقرب معالج لاستكمال التشخيص تستطيع ان تستفيد من الجوانب الايمانيه في حياتك لرفع الثقة بالنفس وبالاخرين وذلك سيساعد في التغلب على الاكتئاب والخوف,علم النفس
15,"مرحبا
منذ شهرين صار نومي متقطعاً وقليل حيث لم انم إلا ساعة او ساعة ونصف على الاكثر وهذا ما اثار لدي الرعب وبدأت تناول الحبوب المنومة ولكني قطعتها خوفاً من الادمان.ماذا أفعل؟",راجع اقرب معالج فورا,علم النفس
16,لقد وصلت لمرحلة التفكير في الموت على الدوام ولم أعد أمارس أي نشاط أحبه ودائما أشعر بحزن وبكراهية لحياتي ولاأتوقف عن التفكير في الانتحار وربما سأفعل كيف أتخلص من هذه الافكار؟,تستطيع ان تستفيد من الجوانب الايمانيه في حياتك لرفع الروح المعنوية عندك و التغلب على الاكتئاب وانت بحاجة الى ان تراجع معالجا قريبا منك لكي تستفيد اكثر من التشخيص الدقيق ومن الخدمات العلاجية تبعا لذلك,علم النفس
17,انا اشعر بالحزن والوحدة والملل طوال حياته منذ ولدت....الموضوع طويل لا يمكن شرحه في بضع كلمات,"تحتاج حالتك الى ان يكون لديك رغبة في التغيير وتحمل المسؤليه عمليا
وتحتاج لتنظيم نمط حياتك والمثابرة عليه بشكل متوازن
ومن المهم مراجعة الطبيب",علم النفس
18,اعاني من الحالة النفسية السيئة و والاكتئاب و الهم و الحزن,تستطيع ان تستفيد من الجوانب الايمانيه في حياتك لرفع الثقة بالنفس وبالاخرين وذلك سيساعد في التغلب على الاكتئاب والخوق وانت بحاجة الى ان تراجع معالجا قريبا منك لكي تستفيد اكثر من التشخيص الدقيق ومن الخدمات العلاجية تبعا لذلك,علم النفس
19,اشعر دائما بل اختناق وأفكر دائماً بي اشياء قد تزعجني أتمنى التخلص من هاذا الشي وشكرا ؟!,"تحتاجين ان تمارسي تمرين الاسترخاء والتفكر الارتقائي
كما ان في سن السابعة عشر هو سن تغيرات تحتاجين لتنمية مواهب واكتشاف مهاراتك الشخصيه
كما تحتاجين الى تنظيم نمط الحياة اليومية
وبعد اسبوع ضعي تقيميا لحالتك وارسليه",علم النفس
20,انا عندي مشكلة نفسية واترددت كتير في اني اتعالج عند دكتور نفسي المشكلة في اني مش بعرف اتعامل مع الناس وبتظلم كتير في حياتي من اقرب الناس ليا وبقيت بكرهم ياريت حد يساعدني بجد,اذا لم يكن هناك اعراض اخرى فانت تحتاجين الى تمارين التدرب على الثقة بالنفس واثبات الذات,علم النفس
21,ارجو ارشادي الى اسم وعنوان عيادة طب نفسي في بغداد لولدي١٧سنة الذي يعاني من الوسواس القهري حسب تشخيص احد الاطباء واعتقد انه بحاجة الى معالج نفسي وليس الحبوب والدواء فقط .,ابحثي في الدليل,علم النفس
22,"لدي مشكلة في التركيز وكثيراً ما أكون سرحان ولم أستطيع السيطرة على نفسي؟
أ",تحتاج التنظيم نمطك اليومي ومن ثم التدرب على تمارين السيطرة على النفس,علم النفس
23,انا اعاني من توتر النفسي وتفاقمت مع الحالة الي الوسواس القهري واثر ذالك علي جميع تصرفاتي اريد وحالتي النفسية حل ؟,ممكن ان توصفي وضعك بشكل ادق,علم النفس
24,"تعلقت في فتاة عمرها 21 , ولابعادها عني اختلقت موضوع اني مثلي الجنس , والمشكلة انني الان اصبحت ادخل مواقع المثليين واتخيل نفسي مثلهم واتخيلها معي , الى الان انا على تواصل بها","اختيارك لهذه الحجة غريب، خصوصا انك أنت الذي أردت إبعادها، فغريب أنك تتخيلها معك، وحتى الآن أنت على تواصل معها..!!
أرجو منك بعض التفاصيل.. واذا كان هناك حرج يمكنك التواصل معي عبر الرسائل الخاصة أو رقم التليفون",علم النفس
25,دخلت في قصة وفشلت وعائلتي ينتقدونني لاني لا اساعد امي كثيرا في تنظيف المنزل ودائما يقال لي اني فاشلة وغبية واشعر بالضعف وابكي كث واصبحت سريعة الغضب واريد اكون سيئة ماذا افعل,"من المفيد لك ان تتدربي على التفكير الايجابي
تذكري ( تفائلوا بالخير تجدوه )",علم النفس
26,كيف يستطيع الانسان ان يتخلص من تاثير صدمة نفسيه شديدة اصابته,"الصدمة تختلف حسب طبيعتها وتختلف حسب تأثيرها
كما ان تاثيرها يختلف باختلاف الافراد الواقعة عليهم
وحتى يكون تاثيرها اكثر قربا من الصحة النفسية
يحتاج الانسان ان يقييم كل ذلك
لذا من المهم اعطاء تفاصيل للمعاج ليتمكن من اعطائك الحلول الاكثر فاعلية",علم النفس
27,ماسبب عدم الثقه بالاخرين والشعور السلبي ماقبل النوم؟؟؟,"البيانات التي في هذا السؤال مبتوره
فالثقة لها عوامل عدة لكي تتكون ولابد للمعاج ان يقف عليها
لكي يعرف مدى منطقيتها ومستوى شدتها
واما الشعور السلبي قبل النوم فقد يكون بسبب انعدام الثقة
وقد تكون له اسباب اخرى
لذا من المهم زيارة المعالج واعطائه بيانات اكثر تفصيلا ليتمكن من معرفة تفاصيل الحالة واحتياجاتها
ومن ثم معرفة اسبابها مما يساعد على وضع العلاج المناسب",علم النفس
28,دواء للتخلص من الاكتئاب و الضيق,الاكتئاب والضيق انواع ومستويات تحتاج الى تقييم دقيق ومن المفيد لكثير من الحالاات الاعتناء بتغيير نمط الحياه واسلوب التفكير والعمل على تعديله من خلال تعلم مهارات التعامل مع الضغوط ومهارات التوازن في تخطيط نمط الحياه بين الجوانب الاجتماعية والنفسية الجادة والترفيهية والجوانب الصحية والجوانب الروحانية وفي حال عدم الاستجابة للتحسن يمكن الانسان ان يراجع المعالج بالقرب منه ,علم النفس
29,ما هو المرض اللذى يجعل صاحبه يعيش بشخصية اخرى موازية لشخصيته ولكنه بأسم وحياة اجتماعية مختلفة عن حقيقته ... ويعيش بالشخصيتين معا وﻻ احد يعلم بذلك غيره هو فقط ؟؟؟؟ ارجو الرد,"dissociative personality disorder
وهو نوع من الهستريا نادر جدا وعلاجه بجلسات نفسيه",علم النفس
30,"انا اعاني من مشكله يا اخوان وهي
اني تركت شخصا احببته كثيرا وانا اعاني من مشكلات في حياتي وانهيار احلامي امامي",ستندمل هذه الجراح مع الوقت ولكن المهم الا تصري علي تذكره دائما لان هذا ادمان .فان احببتي العودة الي طبيعتك السابقه عليكي ان تقلعي عنه,علم النفس
31,هل الابتريل والدباكين ممكن يعملوا تشوهات فى الاجنه انا باخد ابتريل 2 مل جرام فى اليوم بقالى 10 سنوات وديباكيت 200 مل جرام واحياناا عند زعلى بتحصلى الحاله بس مش كمله,الديباكين بيعمل تشوهات للأجنة، ويمنع تناوله أثناء الحمل. أبتريل يؤثر على الجنين بعد الولادة. أنصحك بزيارة الطبيب الخاص بك لوضع خطة علاجية مناسبة,علم النفس
32,انا حامل بالشهر الرابع وزمرة دمي ب سلبي وقال لي دكتور ان كانت زمرة دم زوجي ايجابية فيجب ان اعطى في الشهر السابع حقنة وعند الولادة حقنة هل هذا الروتين صحيح لحالتي؟...وشكرا,نعم صحيح ولا تقلقي من ذلك,علم النفس
33,ماذا افعل لكى اتخلص من افكارى السيئه تجاه الاخرين وشكوكى الزائده بها وشعورى الدائم بانى مريضه نفسيا,انت تعاني من تدني بالثقه بالنفس وتقييمك السي لذاتك فعليك العمل على تقويتها,علم النفس
34,زوجتي تعاني من ضيق الصدر وكابه في الفجر علما بانها تستعمل حبوب اونليفت للتنحيف عمرها 37سنه والحاله تنتابها بين الحين والاخر وليست مستمره,"هذه نوبات هلع ننصح بمراجعة طبيب نفسي للتقيم وتلقي العلاج المناسب
عافاها الله",علم النفس
35,اتعلق جدا باصدقائي. اخاف بان يتركوني. اشعر بالوحده و اخاف الجلوس لوحدي في البيت. لدي محاولات بالانتحار. اشعر باليأس و الحزن الشديد. متعلق جدا بصديقي. نوبات غضب. قليل التركيز,تدريبات الثقة بالنفس مفيدة لمثل حالاتك,علم النفس
36,من شهر حصلي اختناق وخفقان وعدم القدرة علي البلع وعدم التركيز وحسست ان هالموت لكن صرت منيح شوي لكن كل مافكر في الموضوع تجيني الحالة واحس بالموت وملل بالحياة وعدم المتعة بالحياه,الاعراض غير كافية تحتاج الى معاينه اكلينيكية وتقييم اكثر دقة مراجعة العيادة تساعدك كثيرا,علم النفس
37,"السلام عليكم
ما علاج الوسواس القهري؟",يحتاج تحديد العلاج الى تشخيص دقيق حتى تستطيع ان تستفيد منه سواء كان ذلك من الناحية الدوائية او الناحية السلوكية المعرفية,علم النفس
38,دائما اشع بالاكتئاب والاحباط والخوف من الخروج صباحا وتروادنى فترة الصباح اكتئاب حادا ووسواس فى كل شى بجانب الشك فى كل من حولى من اصدقاء او عائلة او حتى غرباء فهل من علاج فعال,تستطيع ان تستفيد من الجوانب الايمانيه في حياتك لرفع الثقة بالنفس وبالاخرين وذلك سيساعد في التغلب على الاكتئاب والخوق وانت بحاجة الى ان تراجع معالجا قريبا منك لكي تستفيد اكثر من التشخيص الدقيق ومن الخدمات العلاجية تبعا لذلك,علم النفس
39,الخوف من مواجهة ومخاطبة الناس,تمرينات اثبات الذات تفيد في مثل حالتك بعد استكمال التشخيص,علم النفس
40,"السلام عليكم
من فضلكم كيف أتخلص من التوتر والخوف في الامتحان",جرب ممارسة تمارين الاسترخاء والتنفس العميق مع تجنب الاكثار من المنبهات وتنظيم وقت الدراسة ووضع استراحة بشكل دوري بين ساعات الدراسة,علم النفس
41,أنا لدي مشاكل أخرى كالقلق والوسواس والرهاب الإجتماعي وما يترتب على الأخير من تلعثم وتأتأة وسوء التعبير أحيانا وليس دائما هل زبركسا أو باروكستين مناسب مع دوائي الفلوناكسول,الباروكستين هو العلاج الانسب للرهاب الاجتماعي والقلق....لكن انصحك بأن تزور طبيبا نفسيا ليقيم حالتك ويصرف لكالعلاج المناسب لحالتك,علم النفس
42,السلام عليكم لي صديقتي تعاني من اكتئاب و واضبت على اخد مضاد الاكتئاب لمدة سنة ونص واتحسنت وقطعته تدريجيا بدون استشارة من طبيبتها وبعد اربع اشهر اصبح يؤلمها قليلا قلبها وبعضا من اعراض الاكتئاب في مرحلته الاولى ف بمادا تنصحها,"ننصحها بعمل تخطيط قلب لان بعض مضادات الاكتئاب
تعمل على عدم انتظام في ظربات القلب.....تانيا مراجعة طبيب نفسي...
مع امنياتي لها بالشفاء",علم النفس
43,"لدي وسواس قهري بالافكار والتخيلات لها 5 سنوات حاولت بكل الطرق ولا فائدة لا زال الوسواس موجود
حسب ما قرأت انه لا يذهب الا بتناول الادوية
فما نصيحتكم..علما اني مصاب بفشل كلوي",هنالك طرق عدة لعلاج الوسواس القهري كالعلاج السلوكي المعرفي وهو يتم بدون أدوية ولكن في بعض الحالات تستدعي الحالة أدوية .لكن عليك مراجعة اخصائي او طبيب نفسي للتأكد من انك تعاني من اضطراب الوسواس القهري فربما يكون تشخيصك مختلف عن ذلك,علم النفس
44,توفي ابي منذ مدة لكني لم استطيع البكاء ابدا فى الاول قلت يمكن تكون من الصدمة لكن الان احاول ان اتذكر كلامه او شيىء يخصه لا استطيع اشعر انه حلم انا اعيش كانه لم يكن في حياتي,قديكون ذلك من احد علامات الاكتىءاب انصح بمراجعه طبيب نفسي,علم النفس
45,ما هو(الذهان التأخري)؟ وشكرا,"لا يوجد هكذا مصطلح...
الذهان: هو مرض يطلق على الحالات العقلية التي تصيب الإنسان والتي يحدث فيها خلل ضمن التفكير المنطقي ، أو في الإدراك الحسي عنده، فهو حالة من فقدان الاتصال مع الواقع، وأبرز ما يميز مرض الذهان بأن الأشخاص المصابين به يصابون بنوبات من الهلوسة، وتمسكهم بمعتقدات وهمية. هناك العديد من الاضطرابات الذهانية التي يمكن ان تصيب الانسان و من اشهرها الفصام العقلي",علم النفس
46,"يعطيك العافية
اعاني من كثرة الحزن والتفكير السلبي في اكثر الاوقات ونادرا ما افرح",قد تكون هذه اعراض للشخصية الاكتئابية او الاكتئاب او غيره ويعتمد التشخيص على طول المدة الزمنية التي حدثت بها الاعراض اضافة الى تواجد اعراض اخرى لديك,علم النفس
47,لدي وسواس من الأمراض وانا كثيرة التفكير فيها,"هنالك عدة احتمالات تشخيصية للوسواس من الامراض منها الوسواس القهري أو توهم المرض...الخ.
لذلك ينصح بمراجعة طبيب لتوضيح الحالة من خلال اخذ السيرة المرضية و الفحص.
نسأل الله السلامة لك.",علم النفس
48,دايما حاسة اني لوحدي والناس كلها جاية عليا شايفة نفسي وحشة بس مش شكل مزاجي بيتغير دايما ودايما حاسة بحزن حتي في وقت الفرحة,"السؤال يعطي بعض الاعراض التي قد تعد طبيعية في مرحلة عمرية معينة و لفترة قصيرة , و لكن اذا كانت هذه الاعراض ممتدة و تؤثر على الاداء الوظيفي للشخص و علاقاته بمجتمعه و تستهلك معظم وقته هنا يجب البحث عن علاج. الاعراض المذكورة لو افترضنا انها الاحساس بالوحدة و الحزن و كراهية الناس و هذا ممتد لفترة طويلة تزيد عن الاسبوعين و تستهلك تفكير و اداء الشخص معظم الوقت فقد يكون ذلك اكتئابا و قد تكون اعراض للقلق. تقلب المزاج قد يكون سمة شخصية و قد يكون عرض لمرض المهم مدة تقلب المزاج و استمراريته, ان يري الشخص انه غير جميل قد يكون عرضا اخر لمرض اخر المهم ما تيرتب على ذلك , يجب مراجعة طبيب نفسي للتشخيص و العلاج",علم النفس
49,علاج الوسواس القهري والقلق النفسي والصراخ علما بأن أعاني من الصراع ومنتظم بالعلاج ولكن القلق النفسي حاجز لي بالحياه وأطر لحجز نفسي منفردا عن الأخرين أفيدوني ماعلاجي,في بعض الأحيان أدوية التشنج تظهر بعض العصبيه .....ننصح بزياره للطبيب,علم النفس
50,"سلام عليكم
في حال سويت النسحاب لدواء المضاد للذهان الاعراض الجانبية تروح",نعم تذهب الاعراض و لكن على حساب عودة المرض اذا لم تتم عن طريق طبيبك.,علم النفس
51,"صديق جامعي أُصيب بمرض الوسواس الاضطهادي منذ 2009 وبقي على تلك الحالة خاصمني وخاصم ابن عمه متهما إيانا بتهم وسواسية:مخابرات، مافيا تخططان لتحطيمي ..إلخ
كان يفر منا دوما ومؤخرا تغير سلوكه مدة 7 أشهر فصار يلاحقنا ويتتبعنا.
فهل بدأ يُشفى أم يخطط لشيء ما؟","موافقة 100% للدكتور علاء..
هذا لا يدل على شفائه و انما دليل على ان تلك الاوهام لا زالت تسيطر على تفكيره..و هذا يتوجب الحذر و العلاج.",علم النفس
52,"لدي حبوب نفسيه بسبب رفض اخي لعدم الذهاب الي مستشفي وعصبي و منعزل ويكره الكل فهذي اسم الحبوب ( ريميرون اقراص ميرتازابين )ولاكن اذبنها عشان مايكشفنا هل هي تكون كويسه وكذا واذا لا اريد حبوب
ايضا لحالته","اختي العزيزة،
لا بد من مراجعة طبيب نفسي و ذلك لأخذ السيرة المرضية و وضع التشخيص المناسب للحالة و من ثم اعطاء العلاج المناسب. الريميرون هو مضاد للاكتئاب و لكن في حال كان التشخيص خاطىء يكون ضره اكثر من نفعه. لذلك ينصح بمراجعة طبيب و اذا كان الشخص غير موافق ممكن لأحد من الاهل مراجعه الطبيب لشرح حالة شقيقك.
سلامته.",علم النفس
53,ساعدوني بترجاكم.. انا مشكلتي لما اقابل ناس جديدة..بستفرغ ومابعرف احكي وبخاف كثير.. ومابقدر اروح على مقابلات العمل مشان الله ساعدوني ومابقدر احكي ل اهلي مشكلتي ولابقدر اروح على دكتور.. بترجاكم ساعدوني,"ما ذكرته اعراض قلق ومشابهة لاعراض الرهاب الاجتماعي
لا بد من مرلااجعة طبيب نفسي لتاكيد التشخيص ومن ثم مساعدتك
اقرئي عن العلاج السلوكي للرهاب الاجتماعي وحاولي تطبيقه اذا لم تستطيعي مراجعة طبيب",علم النفس
54,هل يوجد شيء اسمه الإسقاط النجمي فعلاً؟ حيث انك تفصل جسمك الاثيري عن الجسم المادي وتستطيع ان تتجول في كل مكان وتری الناس، بمعنی اخر تصبح شخص خفي بقدرات غير محدودة، هل لهذا الكلام صحة؟؟,هذا الكلام ليس عليه اي دليل علمي حتى الان حسب معرفتي، وهو محض احلام وردية,علم النفس
55,"انا بعمر ال20 سنة صوتي ضعيف وخاصة في اماكن عامة. اشعر وكأنه ناشف. واحس بان تنفسي صعب كما لو ان مسارات التنفس ضيقة .. كما ااشعر احيانا بثقل الكلام وصعوبته مع الناس في الاماكن العامة .. بالاضافة الى ضغط بداخل اذني احيانا. ""انفي نحيف ومائل""",اذا كانت هذه الاعراض تحدث فقط في الاماكن العامة ولا تحدث في المنزل ورافقها اعراض توتر وشعور بالحرج من مشاهدة الناس لتصرفاتك فقد تكون مؤشرا على القلق الاجتماعي، تحتاج الى مراجعة طبيب نفسي لمزيد من المعلومات والفحص النفسي السريري للتاكد من التشخيص.... بالسلامة,علم النفس
56,^^ موظفه بشركه عالمية وكل يوم بشوف٥٠٠ شخص ويتعامل مع كل الناس وما بخجل لما احكي بامورر الشغل المشكله لما يكون في مراجع ويكون في مشكله بالشغل وانا ما الي دخل فيها و يصرخ انا مابقدر أرد بهدوء بسير صوتي يروج و أيدي مش من الخوف منهم بعز عليي حالي كتير,"الضغط النفسي المهني او الناتج عن العمل هو ظاهرة شائعة جدا و يجب ان نتعلم المهارات اللازمة لادارة تلك الضغزط في حياتنا , تقنيات مثل الاسترخاء و ادارة الوقت و التفريغ النفسي بالاضافة الى تقنيات اخرى في العلاج السلوكي المعرفي ستساعدك على اكتساب تلك المهارات و تعزيز الثقة بالنفس لاكتساب سيطرة و تحكم أفضل في لحظات الضغط و التوتر",علم النفس
57,"مامدي نسبه الاصابة بمتلازمة كوتار في العالم وبالاخص في مصر والوطن العربي
2_ هل يوجد حقا مرض نفسي نادر جراء النشاط الزائد في المخ يجعل المصاب قادرا علي تحريك الاشياء",متلازمة كوتارد هي نوع من أنواع الاضطرابات الوهمية المتعددة و هي نوع نادر جدا و لا توجد دراسات احصائية كثيرة على نسبته.,علم النفس
58,انافتاة عقليتي وافكاري مختلفة عن الأخرين تماما رغم ضغوطاتي النفسية فأنا لا اتذمر من الحياة وابذل جهدي لكي أسعى لما اريده وانا غالبا ما اكون صريحة .. ولكن دائما يحتقروا الناس صراحتي ويتهمونني انني أؤذيهم مع اني حاولت كثيرا ان اغير من نفسي لم استطع!,"الصراحة شيء عظيم
والمثالية رائعة ، لكن المحيط الخارجي بحاجة لبعض التكتم عن الداخل وبعض المجاملة وبدون أن نأخذ الأمور بحساسية فإرضاء الناس غاية لاتدرك .
مهما فعلتي لن يرضى عنكي الناس - لذلك اهتمي بحياتك الخاصة ولا تنظري للآخريين بحساسية ، عاملي الناس بشكل طبيعي دون حب زائد أو كره زائد",علم النفس
59,السلام عليكم..انا شاب عمري 17سنه. وعندما اتي لمذاكرة للختبارات تاتي عندي تفاكير كثيره.وانا ليس إجتماعي.وعندما احد يزعلني. لا اسامحه.واحمل عليه الحقد.ولااضهرله ذلك. اسل الله السلامه.وعندي صعوبة في الحفظ للمذاكره.وشكرا.ارجومنكم.جوابا يساعدني على ذلك..,أخي، برأيي انت بحاجه لمراجعة طبيب كي يستطيع تقييم المشكلة بشكل أفضل، و خاصة التفاكير الكثيرة وقت الدراسة و موضوع الاجتماعية.. نسأل الله لك السلامة و أن تحاول مراجعة طبيب قبل أن تتفاقم المشكلة.,علم النفس
60,السلام عليكم هل الطعام يسبب الاكتئاب مرات احس بالاكتئاب بعد تناول وجبة ثقية عمري 21,بعض الناس في حال شعورهم بالحزن يتوجهون للاكل و بالذات الوجبات الثقيلة و ياكلونها بنهم و بعد ذلك ينتابهم شعور بالندم و لوم النفس. في حال تكرر هذا الامر فهو بحاجه الى علاج سلوكي معرفي.,علم النفس
61,"اعاني الخوف من الموت وما اقدر الجلوس لوحدي برغم اني مئومن بل الموت حق بس يبس ما اقدر اضبط حالي اتمناء تساعدوني
والماء يضل بي يدي 24 ساعه ساعه كل ماخاف اشرب ماء لو مافي بموت من جفاف والخوف","طهور باذن الله، ما تعاني منه ااعراض لاحد اضطرابات القلق النفسي
ونحتاج الى تفصيلات اكثر حتى نشخص الحالة بدقة
بالسلامة ان شاء الله",علم النفس
62,اعاني من ارق وخفقان بالقلب وتعب نفسي وتفكير مرهق وعصبيه مفرطه,الأعراض المذكوره أعلاه تمثل جزء من أعراض اضطراب القلق النفسي العام. لذلك انت بحاجة لمراجعة طبيب نفسي لغايات تأكيد التشخيص ان وجد والعمل على تقديم المساعدة لك.,علم النفس
63,الشهر الفائت جائتني رغبه بكسر كوب بيدي كي اشعر بالالم واشفى قليلا وارى الدم لكن لم افعلها كي لايقال اني مجنونه ومره اخر تمنيت ادخل سكين بصدري كي اشعر بالحياة ام هذه فقط رغبه غلبها الخوف هل هذا مرض نفسي هل اذهب الى طبيب ..؟,نعم ننصح بضرورة الذهاب لطبيب نفسي,علم النفس
64,انا عندما اكون مع شخص ما اكون فرحة و بعد دقائق اتغير و اصبح حزينة لماذا ؟,اذا استمرت هذه الاعراض اسبوع علي الاقل فهذه نوبات مزاجية مختلطة ...Mixed episode Mood disorder...ننصح بالمتابعة مع اخصائي نفسي,علم النفس
65,هل الاكتئاب يؤدى الى النحافة,نعم هناك في بعض حالات الاكتئاب قد يؤدي الي فقدان الرغبة للطعام مما قد يؤدي الي فقدان الوزن,علم النفس
66,ما هي الطرق العملية للتغلب على الكسل والمخاوف من النجاح وتحقيق الأهداف ؟!,لا بد من وضع اهداف لنا في الحياة ولا بد من السعي لتحقيقها و الاستعانه دائما بالله والتوكل علي الله في كل شيء وان نحسن الظن بالله,علم النفس
67,كم تبقى الفترة لتنسى الفتاة فتى جرحها؟؟,لا توجد فترة معينه ولكن لابد من التكيف مع الوضع الجديد ووضع اهداف جديدة والتفكير بجدية وايجابية نحو الحياة ونحو المستقبل والتوكل علي الله وعدم البكاء علي الماضي,علم النفس
68,هل العطاس والكحة من اعراض الاكتئاب او الوسواس القهري او اي مرض نفسي,لا ليست من اعراض المرض النفسي,علم النفس
69,اعاني منذ بضعة ايام من النوم المتقطع او احيانا لا انام الا لمدة ساعتين فقط و في النهار احس بتعب و احيانا انام لمدة 6 ساعت لكن متقطعة يعني كل ساعتين اصحى و بعدها انام طبعا الموضوع مزعج gl اكن كذلك كنت بنام عادي 8 و 9 ساعات,هل تاخذ اي ادوية نفسية او ادوية منشطة,علم النفس
70,"ما علاج كثرة الوسوسه في النفس ?
مع العلم هذي الوسوسه مسببه لي ازعاج كثير وعدم القدره ؏ ترتيب الكلام ذهنيا ونطق بها عندما اتكلم مع شخص ثاني ، وقلت الحفظ
صارت احاول تجنب الكلام عند اي شخص لنه صار اسلوبي في الكلام غير جيد مع اطاله في المعلومه الذي تصل?",العلاج السلوكي هو اكفء الوسائل للعلاج ...انت تحتاج للمتابعة مع معالج نفسي,علم النفس
